Date,Time(seconds),Detector Id,Flow,Occupancy,Density
10/26/2015,25020,K3D20,820,0.11944444,19.90740667
10/26/2015,25200,K3D20,640,0.094999999,15.83333317
10/26/2015,25380,K3D20,820,0.11222222,18.70370333
10/26/2015,25560,K3D20,620,0.090000004,15.00000067
10/26/2015,25740,K3D20,800,0.11055555,18.425925
10/26/2015,25920,K3D20,600,0.086666666,14.44444433
10/26/2015,26100,K3D20,620,0.092222221,15.37037017
10/26/2015,26280,K3D20,740,0.115,19.16666667
10/26/2015,26460,K3D20,840,0.13500001,22.50000167
10/26/2015,26640,K3D20,740,0.13388889,22.314815
10/26/2015,26820,K3D20,940,0.16111112,26.85185333
10/26/2015,27000,K3D20,840,0.145,24.16666667
10/26/2015,27180,K3D20,1060,0.14555556,24.25926
10/26/2015,27360,K3D20,800,0.13277778,22.12963
10/26/2015,27540,K3D20,680,0.085000001,14.16666683
10/26/2015,27720,K3D20,880,0.12666667,21.11111167
10/26/2015,27900,K3D20,820,0.13333334,22.22222333
10/26/2015,28080,K3D20,820,0.11,18.33333333
10/26/2015,28260,K3D20,680,0.10222222,17.03703667
10/26/2015,28440,K3D20,580,0.077777781,12.9629635
10/26/2015,28620,K3D20,700,0.10833333,18.055555
10/26/2015,28800,K3D20,860,0.11055555,18.425925
10/26/2015,28980,K3D20,640,0.089444444,14.90740733
10/26/2015,29160,K3D20,740,0.10166667,16.944445
10/26/2015,29340,K3D20,760,0.10777777,17.96296167
10/26/2015,29520,K3D20,840,0.15666667,26.11111167
10/26/2015,29700,K3D20,860,0.12166667,20.27777833
10/26/2015,29880,K3D20,620,0.076666668,12.777778
10/26/2015,30060,K3D20,700,0.12055556,20.09259333
10/26/2015,30240,K3D20,720,0.10722222,17.87037
10/26/2015,30420,K3D20,700,0.11611111,19.35185167
10/26/2015,30600,K3D20,860,0.125,20.83333333
10/26/2015,30780,K3D20,720,0.11222222,18.70370333
10/26/2015,30960,K3D20,760,0.12277777,20.46296167
10/26/2015,31140,K3D20,700,0.098888889,16.4814815
10/26/2015,31320,K3D20,640,0.10833333,18.055555
10/26/2015,31500,K3D20,800,0.11833333,19.72222167
10/26/2015,31680,K3D20,780,0.11611111,19.35185167
10/26/2015,31860,K3D20,760,0.14444445,24.074075
10/26/2015,32040,K3D20,720,0.12055556,20.09259333
10/26/2015,32220,K3D20,620,0.098888889,16.4814815
10/26/2015,32400,K3D20,460,0.063333333,10.5555555
10/26/2015,32580,K3D20,480,0.077777781,12.9629635
10/26/2015,32760,K3D20,620,0.087222219,14.5370365
10/26/2015,32940,K3D20,600,0.083333336,13.88888933
10/26/2015,33120,K3D20,520,0.07333333,12.22222167
10/26/2015,33300,K3D20,380,0.05111111,8.518518333
10/26/2015,33480,K3D20,540,0.077222221,12.87037017
10/26/2015,33660,K3D20,780,0.12,20
10/26/2015,33840,K3D20,700,0.11055555,18.425925
10/26/2015,34020,K3D20,760,0.12944445,21.574075
10/26/2015,34200,K3D20,760,0.10777777,17.96296167
10/26/2015,34380,K3D20,400,0.067777775,11.29629583
10/26/2015,34560,K3D20,780,0.10277778,17.12963
10/26/2015,34740,K3D20,620,0.10388889,17.314815
10/26/2015,34920,K3D20,540,0.077222221,12.87037017
10/26/2015,35100,K3D20,560,0.083333336,13.88888933
10/26/2015,35280,K3D20,680,0.093888886,15.64814767
10/26/2015,35460,K3D20,800,0.11,18.33333333
10/26/2015,35640,K3D20,560,0.075000003,12.5000005
10/26/2015,35820,K3D20,580,0.091111109,15.18518483
10/26/2015,36000,K3D20,500,0.077222221,12.87037017
10/26/2015,36180,K3D20,560,0.081666663,13.6111105
10/26/2015,36360,K3D20,680,0.094999999,15.83333317
10/26/2015,36540,K3D20,680,0.091666669,15.27777817
10/26/2015,36720,K3D20,660,0.098333336,16.38888933
10/26/2015,36900,K3D20,620,0.11222222,18.70370333
10/26/2015,37080,K3D20,860,0.13166666,21.94444333
10/26/2015,37260,K3D20,660,0.11111111,18.51851833
10/26/2015,37440,K3D20,780,0.11,18.33333333
10/26/2015,37620,K3D20,540,0.076111108,12.68518467
10/26/2015,37800,K3D20,560,0.079999998,13.333333
10/26/2015,37980,K3D20,860,0.12388889,20.64814833
10/26/2015,38160,K3D20,640,0.081111111,13.5185185
10/26/2015,38340,K3D20,540,0.076111108,12.68518467
10/26/2015,38520,K3D20,620,0.099444441,16.5740735
10/26/2015,38700,K3D20,760,0.11888889,19.814815
10/26/2015,38880,K3D20,580,0.088333331,14.72222183
10/26/2015,39060,K3D20,540,0.090000004,15.00000067
10/26/2015,39240,K3D20,660,0.11666667,19.444445
10/26/2015,39420,K3D20,640,0.091666669,15.27777817
10/26/2015,39600,K3D20,460,0.056111112,9.351852
10/26/2015,39780,K3D20,580,0.097777776,16.296296
10/26/2015,39960,K3D20,760,0.11722222,19.53703667
10/26/2015,40140,K3D20,720,0.10666667,17.77777833
10/26/2015,40320,K3D20,640,0.095555559,15.9259265
10/26/2015,40500,K3D20,720,0.10444444,17.40740667
10/26/2015,40680,K3D20,680,0.094444446,15.740741
10/26/2015,40860,K3D20,560,0.064444445,10.74074083
10/26/2015,41040,K3D20,560,0.077222221,12.87037017
10/26/2015,41220,K3D20,480,0.069444448,11.57407467
10/26/2015,41400,K3D20,540,0.082777776,13.796296
10/26/2015,41580,K3D20,780,0.105,17.5
10/26/2015,41760,K3D20,660,0.095555559,15.9259265
10/26/2015,41940,K3D20,500,0.06666667,11.11111167
10/26/2015,42120,K3D20,760,0.098888889,16.4814815
10/26/2015,42300,K3D20,440,0.05111111,8.518518333
10/26/2015,42480,K3D20,540,0.094444446,15.740741
10/26/2015,42660,K3D20,540,0.071111113,11.85185217
10/26/2015,42840,K3D20,700,0.10611111,17.685185
10/26/2015,43020,K3D20,660,0.11,18.33333333
10/26/2015,43200,K3D20,760,0.10888889,18.14814833
10/26/2015,43380,K3D20,500,0.063888893,10.64814883
10/26/2015,43560,K3D20,640,0.087777779,14.62962983
10/26/2015,43740,K3D20,540,0.07388889,12.314815
10/26/2015,43920,K3D20,520,0.058333334,9.722222333
10/26/2015,44100,K3D20,640,0.083888888,13.98148133
10/26/2015,44280,K3D20,640,0.105,17.5
10/26/2015,44460,K3D20,680,0.10444444,17.40740667
10/26/2015,44640,K3D20,620,0.086111113,14.35185217
10/26/2015,44820,K3D20,500,0.067777775,11.29629583
10/26/2015,45000,K3D20,680,0.090555556,15.09259267
10/26/2015,45180,K3D20,640,0.074444443,12.40740717
10/26/2015,45360,K3D20,660,0.090000004,15.00000067
10/26/2015,45540,K3D20,560,0.075555556,12.59259267
10/26/2015,45720,K3D20,740,0.10388889,17.314815
10/26/2015,45900,K3D20,340,0.045000002,7.500000333
10/26/2015,46080,K3D20,700,0.10666667,17.77777833
10/26/2015,46260,K3D20,620,0.097222224,16.203704
10/26/2015,46440,K3D20,440,0.06611111,11.01851833
10/26/2015,46620,K3D20,680,0.11,18.33333333
10/26/2015,46800,K3D20,640,0.090000004,15.00000067
10/26/2015,46980,K3D20,780,0.1,16.66666667
10/26/2015,47160,K3D20,420,0.068333335,11.38888917
10/26/2015,47340,K3D20,700,0.10944445,18.24074167
10/26/2015,47520,K3D20,640,0.115,19.16666667
10/26/2015,47700,K3D20,540,0.096111111,16.0185185
10/26/2015,47880,K3D20,700,0.1,16.66666667
10/26/2015,48060,K3D20,800,0.10333333,17.22222167
10/26/2015,48240,K3D20,720,0.10555556,17.59259333
10/26/2015,48420,K3D20,580,0.075555556,12.59259267
10/26/2015,48600,K3D20,620,0.079444446,13.240741
10/26/2015,48780,K3D20,700,0.099444441,16.5740735
10/26/2015,48960,K3D20,720,0.14888889,24.814815
10/26/2015,49140,K3D20,760,0.12888889,21.48148167
10/26/2015,49320,K3D20,860,0.12777779,21.29629833
10/26/2015,49500,K3D20,420,0.1,16.66666667
10/26/2015,49680,K3D20,540,0.069444448,11.57407467
10/26/2015,49860,K3D20,840,0.12388889,20.64814833
10/26/2015,50040,K3D20,700,0.13444445,22.40740833
10/26/2015,50220,K3D20,800,0.12777779,21.29629833
10/26/2015,50400,K3D20,680,0.084444441,14.0740735
10/26/2015,50580,K3D20,620,0.097222224,16.203704
10/26/2015,50760,K3D20,780,0.10388889,17.314815
10/26/2015,50940,K3D20,480,0.05888889,9.814815
10/26/2015,51120,K3D20,800,0.10722222,17.87037
10/26/2015,51300,K3D20,720,0.093333334,15.55555567
10/26/2015,51480,K3D20,600,0.086111113,14.35185217
10/26/2015,51660,K3D20,640,0.097777776,16.296296
10/26/2015,51840,K3D20,620,0.081111111,13.5185185
10/26/2015,52020,K3D20,580,0.082222223,13.70370383
10/26/2015,52200,K3D20,540,0.07,11.66666667
10/26/2015,52380,K3D20,700,0.10722222,17.87037
10/26/2015,52560,K3D20,840,0.145,24.16666667
10/26/2015,52740,K3D20,320,0.060555555,10.0925925
10/26/2015,52920,K3D20,620,0.099444441,16.5740735
10/26/2015,53100,K3D20,820,0.14333333,23.88888833
10/26/2015,53280,K3D20,720,0.12111111,20.185185
10/26/2015,53460,K3D20,800,0.11388889,18.98148167
10/26/2015,53640,K3D20,820,0.11777778,19.62963
10/26/2015,53820,K3D20,740,0.115,19.16666667
10/26/2015,54000,K3D20,500,0.10166667,16.944445
10/26/2015,54180,K3D20,640,0.093333334,15.55555567
10/26/2015,54360,K3D20,680,0.090555556,15.09259267
10/26/2015,54540,K3D20,420,0.052222222,8.703703667
10/26/2015,54720,K3D20,720,0.10666667,17.77777833
10/26/2015,54900,K3D20,880,0.12611111,21.01851833
10/26/2015,55080,K3D20,640,0.084444441,14.0740735
10/26/2015,55260,K3D20,680,0.088333331,14.72222183
10/26/2015,55440,K3D20,520,0.078888886,13.14814767
10/26/2015,55620,K3D20,800,0.10833333,18.055555
10/26/2015,55800,K3D20,820,0.13388889,22.314815
10/26/2015,55980,K3D20,700,0.10222222,17.03703667
10/26/2015,56160,K3D20,760,0.11111111,18.51851833
10/26/2015,56340,K3D20,480,0.077777781,12.9629635
10/26/2015,56520,K3D20,920,0.15444444,25.74074
10/26/2015,56700,K3D20,820,0.13222222,22.03703667
10/26/2015,56880,K3D20,720,0.11333334,18.88889
10/26/2015,57060,K3D20,860,0.14833333,24.72222167
10/26/2015,57240,K3D20,740,0.11611111,19.35185167
10/26/2015,57420,K3D20,560,0.088888891,14.81481517
10/26/2015,57600,K3D20,720,0.10666667,17.77777833
10/26/2015,57780,K3D20,720,0.11944444,19.90740667
10/26/2015,57960,K3D20,840,0.12444445,20.74074167
10/26/2015,58140,K3D20,640,0.17222223,28.703705
10/26/2015,58320,K3D20,740,0.14555556,24.25926
10/26/2015,58500,K3D20,760,0.11777778,19.62963
10/26/2015,58680,K3D20,740,0.105,17.5
10/26/2015,58860,K3D20,860,0.17666666,29.44444333
10/26/2015,59040,K3D20,640,0.40388888,67.31481333
10/26/2015,59220,K3D20,640,0.2,33.33333333
10/26/2015,59400,K3D20,700,0.20222223,33.703705
10/26/2015,59580,K3D20,480,0.38055557,63.42592833
10/26/2015,59760,K3D20,820,0.19888888,33.14814667
10/26/2015,59940,K3D20,740,0.32888889,54.814815
